######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      5.4232421
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
  4.4821452      0.6484902      4.0470268      -0.9333016   3.9325e-01  0.69483       RM     
  4.4821452      1.2880027      4.0470268      -1.8728668   1.5368e-01  0.68772       RM     
  4.4821452      0.7204188      4.0470268      -1.0583922   3.4701e-01  0.68067       RM     
  4.4821452      0.4880432      4.0470268      -0.7244216   4.8460e-01  0.67370       RM     
  4.4821452      1.9977580      4.0470268      -2.9960392   4.9985e-02  0.66680       RM     
  4.4821452      1.9611920      4.0470268      -2.9716402   5.1219e-02  0.65997       RM     
  4.4821452      1.1685685      4.0470268      -1.7889648   1.6713e-01  0.65321       RM     
  5.3105752      0.8284300      4.0470268      -1.2813711   2.7766e-01  0.64652       AM     
  5.4734608      0.1628857      4.0470268      -0.2545502   7.7527e-01  0.63990       AM     
  5.1908566      -0.2826042     4.0470268      -0.2545502   7.7527e-01  0.63334       AF     
  5.1908566      0.5673885      4.0470268      -0.9051366   4.0449e-01  0.62685       RM     
  5.1307654      -0.0600912     4.0470268      -0.9051366   4.0449e-01  0.62043       AF     
  5.5392204      0.4084549      4.0470268      -0.6651518   5.1420e-01  0.61408       AM     
  5.8507200      0.3114996      4.0470268      -0.5125138   5.9899e-01  0.60779       AM     
  5.8507200      1.2498977      4.0470268      -2.0777538   1.2521e-01  0.60156       RM     
  5.7134743      -0.1372457     4.0470268      -2.0777538   1.2521e-01  0.59540       AF     
  5.0368368      -0.6766375     4.0470268      -2.0777538   1.2521e-01  0.58930       AF     
  5.0368368      1.6675598      4.0470268      -2.8590091   5.7326e-02  0.58326       RM     
  5.5333295      0.4964926      4.0470268      -0.8600396   4.2315e-01  0.57729       AM     
  4.6402312      -0.8930982     4.0470268      -0.8600396   4.2315e-01  0.57138       AF     
  4.6402312      1.4575651      4.0470268      -2.5773689   7.5974e-02  0.56552       RM     
  4.6402312      0.6865558      4.0470268      -1.2265802   2.9329e-01  0.55973       RM     
  4.6402312      1.2036651      4.0470268      -2.1726876   1.1387e-01  0.55400       RM     
  4.8350737      0.1948425      4.0470268      -0.3553422   7.0093e-01  0.54832       AM     
  4.8350737      1.3206344      4.0470268      -2.4334209   8.7736e-02  0.54271       RM     
  4.8350737      1.1773662      4.0470268      -2.1918846   1.1171e-01  0.53715       RM     
  4.5787664      -0.2563074     4.0470268      -2.1918846   1.1171e-01  0.53165       AF     
  4.5787664      1.4963811      4.0470268      -2.8437496   5.8207e-02  0.52620       RM     
  4.9799247      0.4011583      4.0470268      -0.7702583   4.6289e-01  0.52081       AM     
  4.9799247      1.5612827      4.0470268      -3.0288215   4.8373e-02  0.51548       RM     
  4.5849421      -0.3949826     4.0470268      -3.0288215   4.8373e-02  0.51020       AF     
  4.5849421      0.7344124      4.0470268      -1.4543708   2.3355e-01  0.50497       RM     
  4.6313176      0.0463756      4.0470268      -0.0927889   9.1139e-01  0.49980       AM     
  4.6313176      1.8132973      4.0470268      -3.6656175   2.5588e-02  0.49468       RM     
  4.5329218      -0.0983959     4.0470268      -3.6656175   2.5588e-02  0.48961       AF     
  5.2238447      0.6909229      4.0470268      -1.4257741   2.4032e-01  0.48459       AM     
  4.2869141      -0.9369306     4.0470268      -1.4257741   2.4032e-01  0.47963       AF     
  4.2869141      0.1509302      4.0470268      -0.3179365   7.2765e-01  0.47472       RM     
  4.2869141      2.0558780      4.0470268      -4.3755532   1.2581e-02  0.46986       RM     
  4.2869141      2.4410676      4.0470268      -5.2491252   5.2521e-03  0.46504       RM     
  4.2869141      0.5990526      4.0470268      -1.3014982   2.7212e-01  0.46028       RM     
  4.2869141      1.7211785      4.0470268      -3.7781226   2.2866e-02  0.45556       RM     
  4.2869141      0.5548363      4.0470268      -1.2305138   2.9214e-01  0.45090       RM     
  4.2869141      0.7090445      4.0470268      -1.5887905   2.0417e-01  0.44628       RM     
  4.2869141      0.6216846      4.0470268      -1.4074558   2.4477e-01  0.44171       RM     
